date,close,high,low,open,volume,MACD,RSI,CCI,DX,Turbulence
2018-02-15,34.96525573730469,35.79813891159557,34.31481038283769,35.750544463443084,72267500,0.40555901333101474,66.89684268200557,182.3916070476787,23.126866213899692,141.82808715041088
2018-02-16,35.163536071777344,35.76638351797352,34.73519542463944,34.81451642185664,39267500,0.5676716563601545,67.71349431343361,171.44213564422796,23.12686621389969,124.58980320853428
2018-02-20,34.94938278198242,35.44911075463404,34.751077166386324,34.90178834491408,29006900,0.6711303403866964,65.82469395911131,137.46046820630167,23.126866213899685,107.10663862313025
2018-02-21,34.35445785522461,35.23493203962989,34.330659129335984,34.98903507070254,28499200,0.6970811061887829,60.75464216722406,94.41208506663884,16.010453022429008,95.76663387097766
2018-02-22,34.06096649169922,34.55276652550166,33.9102553350906,34.49724120328253,25887600,0.6860565420637315,58.36626297855575,59.4582906740308,9.212905368416232,91.26474182175046
2018-02-23,34.90177536010742,34.93350497301501,34.045093967017074,34.402044547471384,25781400,0.7366738270004518,62.86965206508999,70.03253787622236,14.120721848527499,90.76165976880219
2018-02-26,35.98056411743164,36.05195424567666,35.004901048684985,35.13974738764616,27771100,0.8539933234525137,67.69750425954882,100.63110878336816,26.662633750706366,70.2225684469452
2018-02-27,35.72673416137695,36.178870643506336,35.393579212179866,36.02022557369358,27419300,0.9159296467031481,65.53821559132784,92.39517559095259,27.948525363011008,105.80311174064335
2018-02-28,35.52048873901367,36.400965855027344,35.52048873901367,35.90916894393865,26885200,0.937564685110388,63.75869270393739,85.02398379983472,30.25319927993275,113.39504412116501
2018-03-01,34.74312973022461,35.694996919936735,34.386179155844765,35.441166072800485,32154300,0.8818191710803518,57.429267874421875,37.52040380246733,10.765971424026974,184.42637280008228
2018-03-02,34.94938278198242,35.076298254927785,34.18788691840668,34.338601122838,28848100,0.8445479243756182,58.60349458143401,15.470347974306796,7.731635136391548,166.37946912741504
2018-03-05,35.31425857543945,35.51256415839279,34.663816505424734,34.8383233608096,22101700,0.8348292282943888,60.67026034576541,41.516617930597434,13.35542358255302,159.56476597908383
2018-03-06,35.131813049316406,35.52842416156635,35.01282850528036,35.417373534280784,21930000,0.8031470828044718,59.081879184371324,38.59011126345391,13.561685533796739,134.63132441608673
2018-03-07,35.060428619384766,35.21113977717952,34.743138467718495,34.925579245860504,22034400,0.7634777312972645,58.43722997953065,-13.858607783615557,8.817906799704096,125.75092782004091
2018-03-08,35.171478271484375,35.227003592572515,34.854188128778105,35.10008814067062,20285600,0.7325558158246679,59.18334359735158,0.7012962470741692,9.058554587375456,193.6162916368888
2018-03-09,35.98849105834961,36.12334040841038,35.38564350616162,35.393574396916904,22230900,0.7651558386564759,64.26587396356734,120.8727794868986,21.64210884152597,141.9406462885513
2018-03-12,36.13127899169922,36.38510991254686,36.012297449622466,36.11541418090833,18299800,0.7933679328385566,65.08417334491902,138.88837397148595,24.909917027964383,126.16883894756464
2018-03-13,35.82191467285156,36.6151368782078,35.631540012168934,36.31371159291971,23411200,0.781751560305743,61.783049655860125,96.74133543230985,17.25038688116519,124.15177366026258
2018-03-14,35.91710662841797,36.2978529889496,35.76639547296892,35.96470105819808,21141100,0.7713352243174612,62.41476064871174,80.43952718003484,17.25038688116519,120.75174441919656
2018-03-15,35.956764221191406,36.28198520615995,35.79018525745427,35.93296549728462,23520400,0.7575477009659224,62.69144311640494,73.36621089193805,17.250386881165188,146.53230346300427
