date,open,high,low,close,volume,MACD,RSI,CCI,DX,Turbulence
2021-06-29,49.96974298434523,50.38826532811601,49.41698273990395,49.73284530639648,2652900,-1.0060146959724534,36.484636221888294,-54.80606905335954,24.6095777739623,78.54924052411464
2021-06-30,49.6301911750583,50.23823048852668,49.55122628232425,49.96974563598633,3356500,-0.9857154851064251,38.500989842758344,-46.4018198110158,24.609577773962314,63.55805021501135
2021-07-01,50.71202761708121,50.8699573986104,50.080296441694486,50.14347076416016,3324700,-0.9447199052846287,40.00511438827722,-13.04110934618661,13.489397909930634,54.59238637702685
2021-07-02,50.0092309833586,50.35668072785964,49.59070861831052,50.1513671875,3172800,-0.9012049083454627,40.076854614262494,-30.193605909895243,19.48616028568529,71.42384892310137
2021-07-06,50.06451212723138,50.10399457754565,48.4891361525266,48.90370941162109,3727000,-0.9563700762456264,33.30111091469728,-145.80256223700064,31.064757827543872,9.681502237027843
2021-07-07,48.722085812198976,49.34591874448572,48.243552026622666,49.15639877319336,3424300,-0.9685342891901811,35.673202407677,-173.6432976321202,33.365441176684485,57.0427171168658
2021-07-08,48.16931926133894,48.97477381374436,47.892939126241885,48.49308013916016,4251300,-1.0199415346486447,32.41431329169731,-184.43158382592253,36.61777636915104,172.621613844609
2021-07-09,49.14060351391071,50.27771426589865,49.03794674078475,49.81181716918945,5063200,-0.9433962056505294,43.47088227858014,-2.5056644865394304,14.292585141288622,131.30656385511435
2021-07-12,49.40119098032602,50.22243609332608,48.93923702713644,49.92236709594727,3100400,-0.8638550425556488,44.29360901966349,-1.6646524159719496,15.420235479636377,188.5179278290086
2021-07-13,50.08029546772988,50.29350428342878,49.21166963694247,49.5117416381836,3074500,-0.8244484123450206,41.856799836418205,-1.3918384381173707,14.254687563155159,172.1333117419872
2021-07-14,49.701266570323696,50.25797906956653,49.09322718605934,49.21167755126953,2571700,-0.8081155846421453,40.1198296370129,-21.01476433083772,15.78110917801358,142.67559860379225
2021-07-15,48.80105336555174,49.527543114005184,48.71419016616208,48.887916564941406,2745800,-0.8119370024778405,38.27426855408398,-89.36289852181154,20.649365648533767,114.99770136319431
2021-07-16,48.40621755766999,48.737876736265285,47.22172608556232,47.38755416870117,6961300,-0.9253651762374702,31.128032542542517,-206.24811010846958,36.27046585835606,80.39691571171674
2021-07-19,45.91088634832674,46.17937118712528,45.05410495551284,45.63450622558594,7815400,-1.1435322118106157,25.206155646444316,-281.4960583033076,51.273803931830486,221.2599919601267
2021-07-20,45.9108877223434,46.74003112769775,45.506580491561856,46.28992462158203,6771700,-1.2491450062478862,30.527599966826617,-168.95194424072824,41.96428810281982,207.00800411121816
2021-07-21,47.000626217078725,47.41914561105818,46.63343370708913,47.16645431518555,7428300,-1.2477322057474893,36.984765398703495,-90.43087656625089,31.41470088016095,199.70531173992737
2021-07-22,46.2425461233126,48.08245456272355,45.80033490872511,47.75869369506836,7111300,-1.1851619732765002,40.976570964605294,-68.61273569861864,37.546029720806516,176.0628666736086
2021-07-23,48.04298209552476,48.39043189979857,47.22173381743967,47.466529846191406,4690500,-1.14594010987458,39.642441146278664,-33.33046696193695,32.8189749834116,146.9206119795963
2021-07-26,47.53759621366071,48.99057267841593,47.53759621366071,48.96688079833984,6534300,-0.9824654673242037,48.852060589894755,16.793127258021787,23.884316387669557,155.19835181620755
2021-07-27,48.572049471199165,49.29064090045321,48.058771600199314,48.91950225830078,3568500,-0.8469703406872924,48.59987592279026,33.296923247450586,19.55386652039787,130.752800656432
2021-07-28,48.82474290506293,49.19588154059111,48.21670355080547,48.856327056884766,4113600,-0.7362007237407013,48.24226307909832,31.452807377709217,19.553866520397868,104.13318191829646
2021-07-29,49.306435570200286,49.69337081555563,48.96688107294495,49.43278121948242,3708600,-0.5950407120369761,51.732355148896644,70.57071862180776,12.024429391334545,59.30403498825327
2021-07-30,49.34592055669208,49.92631890064472,48.69444958511666,49.085330963134766,4646800,-0.5053810001026733,49.56299485846379,66.42221965355955,15.17494263834672,50.636635725089185
2021-08-02,49.195876539860976,50.21453988743352,48.319352404150536,48.34304428100586,3714500,-0.4885892118327817,45.2019521240028,54.57142642543778,19.452000801015853,49.40595608213432
2021-08-03,48.28776232825129,49.172181639473365,47.5020476112602,49.14059448242188,4819700,-0.4062430458464519,50.26557069674986,37.84489327950553,27.97388999573172,59.718797626043894
2021-08-04,48.75366458116697,49.11690786691904,48.15352061901231,48.16141891479492,3340100,-0.41520814004567796,44.79297878871364,33.01537666864694,27.973889995731717,93.22520746417055
2021-08-05,48.39832538983939,48.8010511908694,48.09035806923095,48.1693229675293,3037100,-0.4168698348264215,44.845179913695304,21.351645369912706,28.650467004042913,75.48442158704523
2021-08-06,48.65102084273296,49.25116195318673,48.60364009230843,48.95898818969727,3142800,-0.3504278419623077,49.93814130327976,60.03275769866344,19.999751137785967,289.07953582211434
2021-08-09,48.73788385014346,49.13666053509061,48.45360537337295,48.81684875488281,3178100,-0.3057174281997064,49.05998747192282,41.8384611680244,21.885269112356966,222.93682870549344
2021-08-10,48.97476944688566,50.19874324110685,48.91159512888641,49.8433952331543,3560000,-0.18531419489738,55.18876499341479,146.3424860964698,3.3209515931703746,171.69435931511765
2021-08-11,50.08029956601557,50.77520510722049,49.92236977463374,50.727821350097656,3583600,-0.01831682392261058,59.68872792995478,227.37208703736002,5.125498203750777,133.05596006915312
2021-08-12,50.822583765552,51.027897317796906,49.98791269337659,50.54620361328125,3581400,0.09824228628506404,58.3919769442902,176.8902321011182,8.650801629543423,118.98040052221583
2021-08-13,50.51461757607718,50.61727134217127,50.025025563539074,50.29351043701172,2385600,0.16828609604695544,56.551097947191195,120.76798694687075,8.650801629543441,170.23189869822508
2021-08-16,49.90657285838462,50.218489296462224,49.06953116332886,50.0013313293457,3163400,0.19793819942496782,54.41495332566135,50.383577900820086,6.573058481477672,139.9817756510984
2021-08-17,49.503850158170586,49.64993853690844,48.27987613268651,49.20378112792969,3974300,0.15529196008480994,48.97655066101913,-31.094001220655123,16.932088359670736,93.96717708660807
2021-08-18,48.887916162808594,49.61440590528621,48.72998334815538,48.86422729492188,4574000,0.09302303990503447,46.83060765342734,-25.539317570873898,16.93208835967074,90.63566047863706
2021-08-19,48.20091153029304,48.47729169467401,47.49811367316609,47.8139762878418,3981600,-0.040603949859352895,40.86624699668872,-127.21499975682286,30.81167401680252,40.1194210175893
2021-08-20,47.70341778752204,48.25618105404132,47.63234818165074,48.08245468139648,3203600,-0.12341765745547661,42.86935402892715,-106.43835761655188,30.81167401680252,46.86611899440502
2021-08-23,48.5641554493404,49.290642182507376,48.53256828381544,49.00636672973633,3439900,-0.11319133724349939,49.24147066443382,-20.809453884312735,12.504116722290897,22.91418244850281
2021-08-24,49.32222460119506,50.16716161760385,49.32222460119506,49.95395278930664,2896000,-0.02829842249923331,54.808734472287604,52.063478171021615,0.23642669702697064,29.03724418863442
2021-08-25,49.98553197724371,50.68043437946253,49.606495124847214,50.435638427734375,3246700,0.07696067471058399,57.36846061426586,78.70926798248667,6.886172842518537,2.167263963220368
2021-08-26,50.41195925187088,50.98051313354797,50.11978552015364,50.26192474365234,3618500,0.14469408177485832,56.13360285668545,85.13977632183929,10.636465182259894,51.52186966791904
2021-08-27,50.688343960492816,52.003130311807006,50.63306792881455,51.62803649902344,5348700,0.3050902064642216,62.89732609086934,147.12443048520913,22.14453683820875,148.87145314261838
2021-08-30,51.883465648316985,52.14527993654758,51.04534873528945,51.06929397583008,3925000,0.38270782131979075,58.89732929148751,121.94966791173088,23.61703927968473,97.21588589022949
2021-08-31,50.84579857146242,50.98947610914142,50.03960760505039,50.20723342895508,5450000,0.37038963752350185,53.26861043477893,45.950824006055036,8.046526430337602,103.41270320144133
2021-09-01,50.15135690387247,50.28705065837379,49.33718524210856,49.91987609863281,3949200,0.3335945824149604,51.501738633914286,6.912415892365094,1.3037024616016812,107.8744133987368
2021-09-02,50.09547500548784,50.574401080481415,49.82408447646698,49.98372650146485,3414600,0.3060583795511107,51.883641107972366,30.672450687975154,2.416660422225805,92.67303433992265
2021-09-03,49.84803505425136,50.14736272305801,49.22543143258894,49.58462524414063,3690400,0.2491594493207927,49.27190214252949,-7.072697170864035,5.379707234209428,97.78841079640046
2021-09-07,49.47288170904054,49.72830776850961,49.20149114023982,49.38507843017578,2514300,0.18582282709391507,47.971641879675175,-27.590714565128824,5.6888958308787405,27.22841387840492
2021-09-08,49.35315025003156,49.57664728084555,48.29951399567741,48.44319152832031,4629000,0.05894620124570338,42.29768301617935,-78.97310149263603,16.72923694045594,125.01288737658226
2021-09-09,48.091983408471314,48.84229707419205,47.94830587004752,48.11592864990234,4439100,-0.06723675462023238,40.50504188348555,-123.87470422429756,20.625552162737538,104.60693926192653
2021-09-10,48.57090226854971,49.04184459342032,48.16381797514831,48.21969223022461,4093300,-0.15705437739980255,41.353733735715174,-118.13650647309565,17.26811460212431,113.5721868708655
2021-09-13,48.90615353101093,49.16157958108479,48.06404472548289,48.46714019775391,4549200,-0.20589507729712153,43.426298406826,-103.5853949579468,15.196226447907254,226.53842878738476
2021-09-14,48.8822134650655,48.93010395144989,47.51089155445906,47.61306381225586,4493600,-0.30994564982282213,38.384134266416254,-120.18005531841294,22.048284849262416,232.82950017308232
2021-09-15,47.69287679434137,48.42722590434185,47.62901876134032,48.05207061767578,5167600,-0.3529141235935285,42.10516461708275,-99.24488130898645,22.048284849262412,186.8255075277859
2021-09-16,48.00417288775335,48.14785040450094,47.150091563152834,47.46937561035156,4650700,-0.42903986147857154,38.75935002679995,-109.09876224761948,27.89814866536245,143.48368817333161
2021-09-17,46.93458302027759,47.22991883339465,45.87296902154496,46.096466064453125,9622900,-0.593313040275234,32.25568603801157,-161.84951882825973,40.68182131159722,227.96345498447775
2021-09-20,44.907131964824266,45.60157436290669,44.1488376243752,44.84327697753906,7683900,-0.8152251953794334,27.688574932482567,-221.73248077026312,52.838597258043876,122.45422353705902
2021-09-21,45.170552300783775,45.38606864228871,44.069025348064976,44.3244514465332,6156400,-1.021185470992826,26.04443188428485,-183.42645297672524,53.315562525510465,116.21868118174399
2021-09-22,44.90712738363972,45.48183743517052,44.90313854072283,44.939056396484375,6823800,-1.1218846029332212,31.252261984951673,-121.48098732301193,51.33774464986723,7.0103870002094215
2021-09-23,45.31421360118736,46.33192574069129,45.17851682230259,45.84103012084961,7814100,-1.1160426046131349,38.13717124008767,-73.57606728096674,34.72392486781579,121.00415296404276
2021-09-24,45.65744974697028,45.769198261169976,45.29027518748023,45.34614944458008,7964900,-1.1382247669466707,36.006520543814226,-73.33533543816174,34.72392486781579,124.59139506045193
2021-09-27,45.402028620174114,48.19575395749108,45.402028620174114,47.64498901367188,12374000,-0.9592495180559695,49.98492380821759,7.379834662498542,1.1873227216551503,295.35533657422826
2021-09-28,48.01215627367307,48.4072679190606,47.20596543125758,47.46139144897461,6681800,-0.8227410858461681,49.06315866476,43.773962994726325,3.5994419649927374,209.50918062701217
2021-09-29,47.46139066221969,47.57313916250368,46.91062889156938,46.95053863525391,4578800,-0.7471658595871844,46.4939955773238,20.62585576994582,0.06873531568136475,171.76775823088744
2021-09-30,47.030356513572045,47.22990827008568,45.936813740454426,45.94479751586914,4929000,-0.7596698501376267,41.84793082398401,-15.13032453979941,11.229765808321918,155.6377016594391
2021-10-01,46.03260831354503,47.10220609614709,45.69736274709248,46.75897979736328,6925300,-0.6958602037529715,46.50804919929528,2.988699785501512,13.779747147736382,142.86863198595861
2021-10-04,46.75897753501277,47.094223085245055,46.04058986320256,46.487586975097656,5652900,-0.6595864301137766,45.20756731254664,13.143155514804574,13.779747147736376,114.92828631819447
2021-10-05,46.50354385407223,47.44942035454591,46.37583084111074,47.17403793334961,5646200,-0.5688905318166633,49.08560988156723,57.90263392742742,8.42168047967389,104.17993773843106
2021-10-06,46.583371845364056,46.75099462358316,44.9390639466257,45.62552261352539,8699100,-0.614877696477933,41.883982699709826,-34.07059956100499,24.010049790231584,116.26375996636868
2021-10-07,46.208214498490754,47.46938334090118,46.12839499615136,46.703102111816406,7235900,-0.5579396154061058,47.64086563652453,48.07798464729932,13.597992551631933,96.78110341939359
2021-10-08,46.94256210241389,47.325701156901175,46.61529730306525,46.86273956298828,4260200,-0.49423711002380344,48.45546548395761,55.61959358683417,13.597992551631929,52.78511356984239
2021-10-11,47.29377836824899,47.71682722569217,46.46364211843082,46.47960662841797,4139000,-0.4692587189917248,46.582316451636814,44.30524509207782,7.878703950697628,37.658412712242736
2021-10-12,46.31198276255151,46.59135406852409,45.89691464730733,46.08848571777344,5443800,-0.47554160528306255,44.6833322649298,-53.08704574581434,14.58879466164526,25.141675497883476
2021-10-13,46.23215215859764,46.33591993055703,45.21843185646829,45.42596435546875,7689800,-0.5278955239540437,41.590423272106115,-122.10426079410641,21.921265936026764,2.630977377618882
2021-10-14,45.84103952386912,46.91861802083059,45.609558706177936,46.88669204711914,6430400,-0.44637236205231545,49.835132068397556,-27.087552538526747,12.952727314177112,106.52201311280002
2021-10-15,47.46937752045534,47.676910028042506,46.96650619160389,47.06229019165039,4288200,-0.36340624519174725,50.73537920686181,88.12712647460336,2.3965845036904327,278.0023323655857
2021-10-18,46.056558422936455,47.40552756429734,45.976735871870765,47.054317474365234,4660100,-0.2948989203101533,50.690899368748134,38.87996217122263,13.72977289625055,212.3011550312437
2021-10-19,47.16605682164335,47.309734340680585,46.72704353343772,47.24587631225586,3650600,-0.22258337192093336,51.78464952503975,90.49621440229753,13.729772896250541,181.34217496674302
2021-10-20,47.22193936993192,48.37774491913876,47.04713361950866,47.804630279541016,5875300,-0.11881636229500003,54.92534999417433,165.79910962869323,0.6996327290755274,183.17937116850197
2021-10-21,47.948306747235314,48.82633345818257,46.2640890509481,47.3017578125,8916600,-0.07627857306661667,51.663620430134706,105.35615755483094,8.469643083710379,158.07023003048707
2021-10-22,47.60507439518774,48.0440877229127,46.59933471631023,46.61529922485352,5889500,-0.09684220304960434,47.515497962614376,43.844718131236576,8.469643083710372,120.13632805166156
2021-10-25,47.28579140964764,47.52126104988647,46.78292006848121,46.86273956298828,6293200,-0.09211086391954382,49.10188542652825,38.404643426741615,8.469643083710395,117.55873934894852
2021-10-26,46.86273956298828,47.70085643498664,46.439690761247455,46.86273956298828,6875200,-0.08735427783280869,49.101885426528256,21.2550345941522,12.815718660816577,185.03960767220008
2021-10-27,46.75897611998205,46.75897611998205,44.61978072301593,44.69960021972656,11512700,-0.25519024172495364,37.58416653540102,-192.4202508472391,31.412147876582726,44.69773069717887
2021-10-28,44.89913794045188,45.386044634637386,44.86720893380288,45.154563903808594,5974400,-0.34748410482793446,40.73305836376775,-158.95418006122128,31.41214787658272,24.62465413724747
