fiscalDateEnding,ticker,Current Ratio,Acid Test Ratio,Debt Ratio,Debt to Equity Ratio,Interest Coverage Ratio,Asset Turnover Ratio,Inventory Turnover Ratio,Day Sales in Inventory Ratio,Return on Ratio,Return on Equity Ratio,Quality Score
2011-06-30,BA,1.1868611185442868,0.43516189456783516,0.9331105533909233,14.218254806676526,12.609756097560975,0.22938476684368891,0.4537017941843679,804.4931818181818,0.013061745171175419,0.19902810057046272,0.2548368762455719
2011-03-31,BA,1.1631449073942763,0.49283830161386394,0.9417248400232694,16.552402862985684,7.823076923076923,0.2168411867364747,0.4477184898929845,815.2444186239522,0.008551483420593368,0.15030674846625766,0.1725717754788045
2010-12-31,BA,1.1462635965531855,0.45599660969063427,0.9582585867425071,23.753796095444685,8.31060606060606,0.2413767957412674,0.5515894230373812,661.7240736598823,0.017005760956756363,0.4215473608098337,0.24422579300459535
2010-09-30,BA,1.1523453472749576,0.3555406273730942,0.9302075986630278,13.621463852716658,10.569230769230769,0.2601422832786483,0.6336898395721925,575.9915611814346,0.012833093128085615,0.18792096991468343,0.22288449536889315
2010-06-30,BA,1.1243546115935226,0.45473480403661115,0.9502313544035762,19.68865778355541,10.166666666666666,0.244263195043526,0.6156716417910447,592.8484848484849,0.012375499960787389,0.25641858953526164,0.24897160165106486
2010-03-31,BA,1.0989726436506988,0.45971210130211443,0.951738923296808,20.370836165873556,9.60655737704918,0.24163887565507383,0.6468864859106163,564.2411890645586,0.008242020009528346,0.17641060503059144,0.19536041061034792
2009-12-31,BA,1.0727427546148465,0.7363987470729556,0.9641435547032375,28.11466165413534,15.60909090909091,0.28905935248900133,0.8567885194590444,426.0094430658947,0.0,0.0,0.2034893914128898
2009-09-30,BA,0.94314955224812,0.5899716059783456,1.014948778700121,-57.92217898832685,-23.42391304347826,0.2844529292447202,0.9060759652086853,402.83598066298345,-0.026590758007056778,1.517509727626459,0.15899716050786294
2009-06-30,BA,0.9631619339984651,0.5047966231772832,0.9942126420848351,318.76666666666665,19.7,0.29723454394233434,0.8027325581395349,454.696892880423,0.017275436650956474,5.538888888888889,0.29202116426496166
2009-03-31,BA,0.9278825296178875,0.49097280160186885,1.0091976870256596,-84.36404833836858,17.350877192982455,0.29819298879653056,0.8783308837625408,415.56093124772644,0.0,-0.0,0.175
